Name	week	Player_ID	HR	R	RBI	SB	BA	GP
Mike Trout	24	1	1.583	4.625	4.417	0.833	0.308	144
Giancarlo Stanton	22.5	2	2.4	4.578	5.556	0.133	0.287	135
Bryce Harper	22.5	3	1.556	4.267	4.356	0.4	0.301	135
Joey Votto	24.333	4	1.151	3.863	3.616	0.164	0.295	146
Anthony Rizzo	24.333	5	1.356	3.986	4.151	0.288	0.283	146
Kris Bryant	24.333	6	1.356	4.151	3.863	0.329	0.285	146
Paul Goldschmidt	24.333	7	1.192	3.863	3.822	0.658	0.289	146
Freddie Freeman	23.167	8	1.295	3.755	3.971	0.302	0.291	139
Josh Donaldson	23.333	9	1.5	4.114	4.071	0.171	0.274	140
Nolan Arenado	24.667	10	1.541	3.973	4.581	0.122	0.295	148
J.D. Martinez	21.167	11	1.512	3.827	4.583	0.142	0.285	127
Carlos Correa	23.167	12	1.165	3.755	4.058	0.302	0.291	139
Mookie Betts	24.167	13	1.117	4.262	3.724	0.869	0.299	145
Manny Machado	24.333	14	1.521	3.945	4.274	0.329	0.291	146
Rhys Hoskins	23.333	15	1.586	3.6	4.2	0.214	0.263	140
Aaron Judge	23.5	16	1.574	4	4.043	0.298	0.254	141
Christian Yelich	24.333	17	0.945	3.822	3.247	0.493	0.296	146
George Springer	22.5	18	1.333	4.267	3.644	0.444	0.274	135
Marcell Ozuna	23.5	19	1.277	3.489	4.128	0.085	0.294	141
Miguel Cabrera	20.667	20	1.161	3.484	3.823	0.048	0.288	124
Justin Turner	21.667	21	1.015	3.554	3.646	0.185	0.292	130
Nelson Cruz	23.333	22	1.5	3.557	4.286	0.043	0.274	140
Jose Abreu	23.667	23	1.268	3.465	4.056	0.085	0.293	142
Edwin Encarnacion	23.667	24	1.479	3.718	4.183	0.085	0.252	142
Charlie Blackmon	24.333	25	1.068	4.192	3.288	0.699	0.296	146
Yasiel Puig	21	26	1.143	3.286	3.714	0.476	0.282	126
Anthony Rendon	22.667	27	0.926	3.441	3.397	0.309	0.282	136
Carlos Santana	23	28	1.174	3.522	3.522	0.174	0.255	138
Daniel Murphy	20.167	29	0.793	3.421	3.62	0.149	0.311	121
Corey Seager	23.167	30	1.036	3.799	3.367	0.173	0.289	139
Miguel Sano	18.5	31	1.514	3.622	4.162	0.054	0.254	111
Jose Altuve	24.5	32	0.776	3.837	3.429	0.98	0.309	147
Francisco Lindor	24.5	33	1.02	3.959	3.551	0.571	0.293	147
Andrew McCutchen	24	34	1.042	3.667	3.333	0.375	0.272	144
Jose Ramirez	24.5	35	0.857	3.633	3.633	0.694	0.297	147
