team_name	Roto	AVG	ERA	HR	K	QS	R	RBI	SB	SV	W	WHIP	XBH
spit.	88.5	0.332	1.89	17	48	5	46	48	2	4	5	1.13	28
#24 From Adalbertos	85.5	0.319	3.72	15	89	6	45	40	3	3	4	1.11	34
CORKED WOOD	83	0.287	2.73	18	74	6	43	41	2	1	5	0.92	28
ShowMeUrTatis Jr	82.5	0.32	4.62	20	56	4	45	38	6	7	6	1.41	33
Griffey Jr	73	0.3	2.34	15	77	5	38	42	1	1	4	1.1	28
TheColossus of Clout	72.5	0.274	3.7	16	64	6	43	33	3	5	3	1.2	34
I Suck	59	0.288	3.82	12	53	4	40	42	5	0	4	1.29	26
I love Koch	48.5	0.262	2.14	9	27	5	29	35	4	0	3	1.01	20
MrLapara	38	0.282	4.6	7	71	4	36	27	1	4	3	1.38	18
Kike... DoULuvMe?	29.5	0.261	7.54	9	37	2	35	30	4	3	1	1.74	24
